id,Job Type
1,Umum
2,Akuntansi
3,Administrasi
4,Agrikultur/Kehutanan/Perikanan
5,Audit
6,Otomotif
7,Penerbangan
8,Perbankan/Finansial
9,Bioteknologi
10,Layanan Bisnis
11,Kimia
12,Keamanan
13,Transportasi
14,Catering
15,Migas dan Pertambangan
16,Telekomunikasi
17,Teknologi Informatika
18,Properti
19,Pendidikan
20,Konstruksi dan Bangunan
21,Kesehatan dan Kecantikan
22,Media dan Periklanan
23,R&D dan Lab
24,Desain
25,TRAINEE PROGRAM
26,Planning & Control
27,Konsultan
28,Human Resources
29,Foreman
30,Supervisor
31,Assisten Manager
32,Manager
33,Internship
34,Sales
35,Teknologi
36,Marketing
37,Legal
38,Export Import
39,Purchasing
40,Seketaris
41,Customer Relation
42,Customer Service
43,Officer A/R Collection
44,Officer Management Accountant
45,Staff A/R Collection
46,Logistik
47,Warehouse
48,Financial Analyst
49,SPV
50,Pajak
51,Associate
52,Utility
53,Safety
54,Technical Support
55,HSE
56,Copywriter
57,Public Relation
58,Social Media Spesialis
59,Kesehatan Hewan
60,Jurnalis
61,AHLI
62,AHLI UTAMA
63,ANALIS
64,ANGGOTA
65,ASISTEN / ASSISTANT
66,ASSOCIATE
67,BOS
68,BIRO
69,BRANCH MANAGER
70,BRIGADIR
71,BUPATI
72,BUSINESS MANAGER
73,CALON
74,CEO
75,CHAIRMAN
76,CO-FOUNDER
77,CONSULTANT
78,CONTROLLER
79,DANYON
80,DEKAN
81,DEPUTI
82,DEWAN PENGAWAS
83,DIRBINUM
84,DIREKTUR BIDANG
85,DIREKTUR KEMAHASISWAAN
86,DIREKTUR KEUANGAN
87,DIREKTUR PENDIDIKAN
88,DIREKTUR SARANA PRASARANA DAN LINGKUNGAN
89,DIREKTUR SISTEM INFORMASI DAN KOMUNIKASI
90,DIREKTUR UTAMA
91,DOKTER GIGI SPESIALIS
92,DOKTER SPESIALIS
93,DOKTER UMUM
94,EKSEKUTIF
95,FORMER
96,FOUNDER
97,FRONT LINER
98,FRONTEND DEVELOPER
99,FULLSTACK
100,FUNGSIONAL
101,GENERAL MANAGER
102,GROUP LEADER
103,GURU BESAR
104,HEAD
105,HONORER
106,INSPEKTUR
107,INTERNSHIP
108,JUNIOR
109,JUNIOR ACCOUNT EXECUTIVE
110,JUNIOR ASSOCIATE
111,JUNIOR MANAGER
112,KA DIVISI UROLOGI
113,KA INSTALASI ANESTESIS
114,KA INSTALASI GADAR
115,KA INSTALASI PATOLOGI
116,KA INSTALASI PENDIDIKAN DAN PENELITIAN
117,KEPALA / KETUA
118,KEPALA DEPARTEMEN
119,KEPALA PRODI
120,KEPALA PUSKESMAS
121,KETUA (CHIEF)
122,KETUA BPM
123,KETUA BPP
124,KETUA III IKA UA
125,KETUA LP3
126,KETUA LP4M
127,KETUA LPM
128,KETUA LPT
129,KETUA PPKK
130,KOMISIONER
131,KOORDINATOR
132,LEADER
133,MANAJER / MANAGER
134,OFFICER
135,OWNER
136,PEJABAT KEUANGAN
137,PENANGGUNG JAWAB
138,PENANGGUNG JAWAB MUTU
139,PENDAMPING
140,PENGURUS
141,PERSONALIA
142,PLT D3 OTOMASI SISTEM INSTRUMENTASI
143,PLT HUKUM TATA NEGARA
144,RECRUITMENT OFFICER
145,REKTOR
146,RELATIONSHIP MANAGER
147,RISK MANAGER
148,SECTION HEAD
149,SEKRETARIS
150,SEKRETARIS UNIVERSITAS
151,STAFF
152,SUB BAGIAN
153,SUPERVISOR
154,SUPPORT
155,UTAMA
156,WAKIL BUPATI
157,WAKIL DEKAN
158,WAKIL DIREKTUR
159,WAKIL KEPALA
160,WAKIL KETUA
161,WAKIL KETUA DEWAN
162,WAKIL MANAJER
163,WAKIL PIMPINAN WILAYAH
164,WAKIL REKTOR
165,WAKIL REKTOR I
166,WAKIL REKTOR II
167,WAKIL REKTOR IV
168,KEPALA BIDANG
169,KETUA JURUSAN
170,KOORDINATOR PRODI
171,GUBERNUR
172,KOMISARIS
173,KEPALA SEKSI
174,DIREKTUR PEMASARAN
175,DIREKTUR REGIONAL
176,KETUA SUB BAGIAN
177,KEPALA BAGIAN
178,KEPALA DINAS
179,KEPALA DIVISI
180,KEPALA SEKOLAH
181,KETUA KOMITE
182,PRESIDEN DIREKTUR
183,LAINNYA
184,PELAKSANA TUGAS
185,WALI KELAS
186,LAINNYA
